ts_local,ts_server,slug,condition_id,inventory_yes,inventory_no,net_inventory,gross_inventory,cash,inventory_value,mark_to_market_pnl,yes_mid,no_mid,yes_fair_value,no_fair_value,yes_bid_quote,yes_ask_quote,no_bid_quote,no_ask_quote,fill_count_yes_buy,fill_count_yes_sell,fill_count_no_buy,fill_count_no_sell,total_fills,seconds_to_window_end,position_bias,crowd_activity,crowd_signal,realized_on_roll,action_name,policy_name,epsilon,state_slug,state_condition_id,state_yes_mid,state_no_mid,state_yes_spread,state_no_spread,state_yes_imbalance,state_no_imbalance,state_yes_mid_return_1s,state_no_mid_return_1s,state_seconds_to_window_end,state_net_inventory,state_gross_inventory,state_position_bias,state_crowd_signal,state_crowd_activity,state_mark_to_market_pnl,state_fill_count,state_key,action_index
2026-04-20T19:38:14.476845+00:00,2026-04-20T19:38:14.047125+00:00,btc-updown-5m-1776713700,0xcc9128f4097904f0dc71823192283fad7ba9074fee058710ded677027c2b9937,35.0,55.0,-20.0,90.0,-199.20659999999984,41.5,-157.70659999999984,0.675,0.325,0.716467,0.283533,0.665,0.71531,0.315,0.335,302,181,286,170,939,105.95287489891052,-0.8,225.29,-0.867548493053398,0.0,neutral,q_learning,0.03,btc-updown-5m-1776713700,0xcc9128f4097904f0dc71823192283fad7ba9074fee058710ded677027c2b9937,0.675,0.325,0.01,0.01,-0.867548493053398,0.867548493053398,0.015037593984962516,-0.02985074626865669,105.95287489891052,-20.0,90.0,-0.8,-0.867548493053398,225.29,-157.70659999999984,939,13|0|-2|-3|1|1|0,1
2026-04-20T19:38:15.170223+00:00,2026-04-20T19:38:15.077837+00:00,btc-updown-5m-1776713700,0xcc9128f4097904f0dc71823192283fad7ba9074fee058710ded677027c2b9937,35.0,55.0,-20.0,90.0,-199.20659999999984,41.7,-157.50659999999982,0.665,0.335,0.721624,0.278376,0.655,0.723119,0.325,0.345,302,181,286,170,939,104.92216300964355,-0.8,777.69,0.9402075377078271,0.0,lean_no,q_learning,0.03,btc-updown-5m-1776713700,0xcc9128f4097904f0dc71823192283fad7ba9074fee058710ded677027c2b9937,0.665,0.335,0.01,0.01,0.9402075377078271,-0.9402075377078271,-0.014814814814814836,0.030769230769230882,104.92216300964355,-20.0,90.0,-0.8,0.9402075377078271,777.69,-157.50659999999982,939,13|0|2|-3|1|-1|1,0
2026-04-20T19:38:15.997580+00:00,2026-04-20T19:38:15.044181+00:00,btc-updown-5m-1776713700,0xcc9128f4097904f0dc71823192283fad7ba9074fee058710ded677027c2b9937,35.0,55.0,-20.0,90.0,-199.20659999999984,41.7,-157.50659999999982,0.665,0.335,0.750787,0.249213,0.655,0.755353,0.325,0.345,302,181,286,170,939,104.95581889152527,-0.8,715.22,0.7608492982440191,0.0,defensive,q_learning,0.03,btc-updown-5m-1776713700,0xcc9128f4097904f0dc71823192283fad7ba9074fee058710ded677027c2b9937,0.665,0.335,0.01,0.01,0.7566673155538252,-0.7539577650929337,0.0,0.0,104.95581889152527,-20.0,90.0,-0.8,0.7608492982440191,715.22,-157.50659999999982,939,13|0|2|-3|1|0|1,4
2026-04-20T19:38:16.712533+00:00,2026-04-20T19:38:16.039180+00:00,btc-updown-5m-1776713700,0xcc9128f4097904f0dc71823192283fad7ba9074fee058710ded677027c2b9937,35.0,55.0,-20.0,90.0,-199.20659999999984,41.5,-157.70659999999984,0.675,0.325,0.717435,0.282565,0.665,0.718008,0.315,0.335,302,181,286,170,939,103.9608199596405,-0.8,563.92,0.10728472123705486,0.0,lean_no,q_learning,0.03,btc-updown-5m-1776713700,0xcc9128f4097904f0dc71823192283fad7ba9074fee058710ded677027c2b9937,0.675,0.325,0.01,0.01,0.10728472123705486,-0.10728472123705486,0.0,0.0,103.9608199596405,-20.0,90.0,-0.8,0.10728472123705486,563.92,-157.70659999999984,939,13|0|0|-3|1|0|1,0
2026-04-20T19:38:17.596561+00:00,2026-04-20T19:38:17.153290+00:00,btc-updown-5m-1776713700,0xcc9128f4097904f0dc71823192283fad7ba9074fee058710ded677027c2b9937,35.0,55.0,-20.0,90.0,-199.20659999999984,41.5,-157.70659999999984,0.675,0.325,0.728074,0.271926,0.665,0.73476,0.315,0.335,302,181,286,170,939,102.84670996665955,-0.8,710.81,0.7186308577538301,0.0,lean_no,q_learning,0.03,btc-updown-5m-1776713700,0xcc9128f4097904f0dc71823192283fad7ba9074fee058710ded677027c2b9937,0.675,0.325,0.01,0.01,0.7186308577538301,-0.7186308577538301,0.0,0.0,102.84670996665955,-20.0,90.0,-0.8,0.7186308577538301,710.81,-157.70659999999984,939,13|0|1|-3|1|0|1,0
2026-04-20T19:38:18.407207+00:00,2026-04-20T19:38:18.129575+00:00,btc-updown-5m-1776713700,0xcc9128f4097904f0dc71823192283fad7ba9074fee058710ded677027c2b9937,35.0,55.0,-20.0,90.0,-199.20659999999984,41.5,-157.70659999999984,0.675,0.325,0.743433,0.256567,0.665,0.751693,0.315,0.335,302,181,286,170,939,101.87042498588562,-0.8,597.63,0.8259792848417917,0.0,neutral,q_learning,0.03,btc-updown-5m-1776713700,0xcc9128f4097904f0dc71823192283fad7ba9074fee058710ded677027c2b9937,0.675,0.325,0.01,0.01,0.8259792848417917,-0.8259792848417917,0.0,0.0,101.87042498588562,-20.0,90.0,-0.8,0.8259792848417917,597.63,-157.70659999999984,939,13|0|2|-3|1|0|1,1
2026-04-20T19:38:19.169177+00:00,2026-04-20T19:38:19.063863+00:00,btc-updown-5m-1776713700,0xcc9128f4097904f0dc71823192283fad7ba9074fee058710ded677027c2b9937,35.0,55.0,-20.0,90.0,-199.20659999999984,41.5,-157.70659999999984,0.675,0.325,0.730781,0.269219,0.665,0.73873,0.315,0.335,302,181,286,170,939,100.93613696098328,-0.8,787.89,0.8539969058263283,0.0,lean_no,q_learning,0.03,btc-updown-5m-1776713700,0xcc9128f4097904f0dc71823192283fad7ba9074fee058710ded677027c2b9937,0.675,0.325,0.01,0.01,0.8449001117542912,-0.8415170838732855,0.0,0.0,100.93613696098328,-20.0,90.0,-0.8,0.8539969058263283,787.89,-157.70659999999984,939,13|0|2|-3|1|0|1,0
2026-04-20T19:38:19.980053+00:00,2026-04-20T19:38:19.110561+00:00,btc-updown-5m-1776713700,0xcc9128f4097904f0dc71823192283fad7ba9074fee058710ded677027c2b9937,35.0,55.0,-20.0,90.0,-199.20659999999984,41.5,-157.70659999999984,0.675,0.325,0.745625,0.254375,0.665,0.75453,0.315,0.335,302,181,286,170,939,100.88943910598755,-0.8,1001.72,0.8896297276841908,0.0,neutral,q_learning,0.03,btc-updown-5m-1776713700,0xcc9128f4097904f0dc71823192283fad7ba9074fee058710ded677027c2b9937,0.675,0.325,0.01,0.01,0.8905188264449597,-0.8907371948300623,0.0,0.0,100.88943910598755,-20.0,90.0,-0.8,0.8896297276841908,1001.72,-157.70659999999984,939,13|0|2|-3|1|0|1,1
2026-04-20T19:38:20.677124+00:00,2026-04-20T19:38:20.031335+00:00,btc-updown-5m-1776713700,0xcc9128f4097904f0dc71823192283fad7ba9074fee058710ded677027c2b9937,35.0,55.0,-20.0,90.0,-199.20659999999984,41.5,-157.70659999999984,0.675,0.325,0.731936,0.268064,0.665,0.740242,0.315,0.335,302,181,286,170,939,99.96866488456726,-0.8,1001.1099999999999,0.8805326088042273,0.0,lean_no,q_learning,0.03,btc-updown-5m-1776713700,0xcc9128f4097904f0dc71823192283fad7ba9074fee058710ded677027c2b9937,0.675,0.325,0.01,0.01,0.8805326088042273,-0.8805326088042273,0.0,0.0,99.96866488456726,-20.0,90.0,-0.8,0.8805326088042273,1001.1099999999999,-157.70659999999984,939,13|0|2|-3|1|0|1,0
2026-04-20T19:38:21.625558+00:00,2026-04-20T19:38:21.037547+00:00,btc-updown-5m-1776713700,0xcc9128f4097904f0dc71823192283fad7ba9074fee058710ded677027c2b9937,35.0,55.0,-20.0,90.0,-199.20659999999984,41.5,-157.70659999999984,0.675,0.325,0.746096,0.253904,0.665,0.755738,0.315,0.335,302,181,286,170,939,98.96245288848877,-0.8,847.66,0.9312304585863085,0.0,neutral,q_learning,0.03,btc-updown-5m-1776713700,0xcc9128f4097904f0dc71823192283fad7ba9074fee058710ded677027c2b9937,0.675,0.325,0.01,0.01,0.9642073112532213,-0.9206682533016006,0.0,0.0,98.96245288848877,-20.0,90.0,-0.8,0.9312304585863085,847.66,-157.70659999999984,939,13|0|2|-3|1|0|1,1
2026-04-20T19:38:22.352089+00:00,2026-04-20T19:38:22.033908+00:00,btc-updown-5m-1776713700,0xcc9128f4097904f0dc71823192283fad7ba9074fee058710ded677027c2b9937,35.0,55.0,-20.0,90.0,-199.20659999999984,41.400000000000006,-157.80659999999983,0.68,0.32,0.728419,0.271581,0.67,0.735274,0.31,0.33,302,181,286,170,939,97.96609210968018,-0.8,1062.6799999999998,0.33707522758497377,0.0,lean_no,q_learning,0.03,btc-updown-5m-1776713700,0xcc9128f4097904f0dc71823192283fad7ba9074fee058710ded677027c2b9937,0.68,0.32,0.02,0.02,0.3651637687019814,-0.44727855231657515,0.007407407407407307,-0.015384615384615441,97.96609210968018,-20.0,90.0,-0.8,0.33707522758497377,1062.6799999999998,-157.80659999999983,939,13|0|1|-3|1|1|1,0
2026-04-20T19:38:23.126650+00:00,2026-04-20T19:38:23.118738+00:00,btc-updown-5m-1776713700,0xcc9128f4097904f0dc71823192283fad7ba9074fee058710ded677027c2b9937,35.0,55.0,-20.0,90.0,-199.20659999999984,41.3,-157.90659999999986,0.685,0.315,0.746571,0.253429,0.675,0.752694,0.305,0.325,302,181,286,170,939,96.8812620639801,-0.8,1035.3600000000001,0.24248707410858872,0.0,neutral,q_learning,0.03,btc-updown-5m-1776713700,0xcc9128f4097904f0dc71823192283fad7ba9074fee058710ded677027c2b9937,0.685,0.315,0.01,0.01,0.24467048598932145,-0.25768891952966405,0.007352941176470562,-0.015625,96.8812620639801,-20.0,90.0,-0.8,0.24248707410858872,1035.3600000000001,-157.90659999999986,939,13|0|0|-3|1|1|1,1
2026-04-20T19:38:23.875928+00:00,2026-04-20T19:38:23.045484+00:00,btc-updown-5m-1776713700,0xcc9128f4097904f0dc71823192283fad7ba9074fee058710ded677027c2b9937,35.0,55.0,-20.0,90.0,-199.20659999999984,41.3,-157.90659999999986,0.685,0.315,0.761673,0.238327,0.675,0.767133,0.305,0.325,302,181,286,170,939,96.95451593399048,-0.8,1028.58,0.2283730968908593,0.0,lean_yes,q_learning,0.03,btc-updown-5m-1776713700,0xcc9128f4097904f0dc71823192283fad7ba9074fee058710ded677027c2b9937,0.685,0.315,0.01,0.01,0.2283730968908593,-0.2283730968908593,0.007352941176470562,-0.015625,96.95451593399048,-20.0,90.0,-0.8,0.2283730968908593,1028.58,-157.90659999999986,939,13|0|0|-3|1|1|1,2
